address,bed_bath,more_info,price,status,zip_code
"363 E Wacker Dr # 5505, Chicago, IL","3 bds · 3 ba · 2,002 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-5505-Chicago-IL-60601/2095321537_zpid/,"$2,472,790",New Construction,60601
"450 E Waterside East Dr # 202, Chicago, IL","2 bds · 3 ba · 1,950 sqft",http://www.zillow.com/homedetails/450-E-Waterside-East-Dr-202-Chicago-IL-60601/2095236170_zpid/,"$895,000",Condo For Sale,60601
,,,,,60601
"450 E Waterside Dr UNIT 202, Chicago, IL","2 bds · 3 ba · 1,950 sqft",http://www.zillow.com/homedetails/450-E-Waterside-Dr-UNIT-202-Chicago-IL-60601/89928754_zpid/,"$895,000",Condo For Sale,60601
"363 E Wacker Dr # 1902, Chicago, IL","3 bds · 2 ba · 2,112 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-1902-Chicago-IL-60601/2098441324_zpid/,"$1,512,783",New Construction,60601
"155 N Harbor Dr APT 3814, Chicago, IL",1 bd · 1 ba · -- sqft,http://www.zillow.com/homedetails/155-N-Harbor-Dr-APT-3814-Chicago-IL-60601/3870475_zpid/,"$289,000",Condo For Sale,60601
"155 N Harbor Dr APT 5105, Chicago, IL",1 bd · 1 ba · 826 sqft,http://www.zillow.com/homedetails/155-N-Harbor-Dr-APT-5105-Chicago-IL-60601/3870648_zpid/,"$365,000",Condo For Sale,60601
"363 E Wacker Dr # 1303, Chicago, IL","2 bds · 3 ba · 2,095 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-1303-Chicago-IL-60601/2095327150_zpid/,"$1,536,054",New Construction,60601
"363 E Wacker Dr # 6505, Chicago, IL","3 bds · 3 ba · 1,972 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-6505-Chicago-IL-60601/2095321473_zpid/,"$2,487,639",New Construction,60601
"363 E Wacker Dr # 2601, Chicago, IL","3 bds · 2 ba · 2,074 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-2601-Chicago-IL-60601/2095322306_zpid/,"$1,569,396",New Construction,60601
"363 E Wacker Dr # 2406, Chicago, IL","3 bds · 3 ba · 2,576 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-2406-Chicago-IL-60601/2098683545_zpid/,"$2,615,155",New Construction,60601
"363 E Wacker Dr # 5603, Chicago, IL","3 bds · 3 ba · 2,344 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-5603-Chicago-IL-60601/2095326963_zpid/,"$2,867,794",New Construction,60601
"222 N Columbus Dr APT 306, Chicago, IL",1 bd · 1 ba · 685 sqft,http://www.zillow.com/homedetails/222-N-Columbus-Dr-APT-306-Chicago-IL-60601/80829887_zpid/,"$229,900",Condo For Sale,60601
"8 E Randolph St UNIT 1905, Chicago, IL","2 bds · 2 ba · 1,348 sqft",http://www.zillow.com/homedetails/8-E-Randolph-St-UNIT-1905-Chicago-IL-60601/101229018_zpid/,"$525,000",Condo For Sale,60601
"222 N Columbus Dr APT 2508, Chicago, IL","2 bds · 2 ba · 1,225 sqft",http://www.zillow.com/homedetails/222-N-Columbus-Dr-APT-2508-Chicago-IL-60601/80841449_zpid/,"$423,000",Condo For Sale,60601
"400 E Randolph St APT 1412, Chicago, IL",1 bd · 1 ba · 650 sqft,http://www.zillow.com/homedetails/400-E-Randolph-St-APT-1412-Chicago-IL-60601/3869210_zpid/,"$225,000",Condo For Sale,60601
"363 E Wacker Dr # 1502, Chicago, IL","3 bds · 3 ba · 2,292 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-1502-Chicago-IL-60601/2098938006_zpid/,"$1,460,737",Condo For Sale,60601
"155 N Harbor Dr APT 4905, Chicago, IL",1 bd · 1 ba · 826 sqft,http://www.zillow.com/homedetails/155-N-Harbor-Dr-APT-4905-Chicago-IL-60601/3870620_zpid/,"$349,900",Condo For Sale,60601
"222 N Columbus Dr APT 3201, Chicago, IL",1 bd · 1 ba · 835 sqft,http://www.zillow.com/homedetails/222-N-Columbus-Dr-APT-3201-Chicago-IL-60601/80810012_zpid/,"$307,000",Condo For Sale,60601
"363 E Wacker Dr # 5405, Chicago, IL","3 bds · 3 ba · 1,990 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-5405-Chicago-IL-60601/2095321568_zpid/,"$2,452,994",New Construction,60601
"363 E Wacker Dr # 3806, Chicago, IL","3 bds · 3 ba · 2,437 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-3806-Chicago-IL-60601/2095326383_zpid/,"$2,588,581",New Construction,60601
"363 E Wacker Dr # 2306, Chicago, IL","3 bds · 3 ba · 2,598 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-2306-Chicago-IL-60601/2095326727_zpid/,"$2,637,490",New Construction,60601
"363 E Wacker Dr # 5605, Chicago, IL","3 bds · 3 ba · 2,015 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-5605-Chicago-IL-60601/2095321472_zpid/,"$2,491,399",New Construction,60601
"363 E Wacker Dr # 6403, Chicago, IL","3 bds · 3 ba · 2,347 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-6403-Chicago-IL-60601/2095326884_zpid/,"$2,923,189",New Construction,60601
"363 E Wacker Dr # 6902, Chicago, IL","2 bds · 2 ba · 1,810 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-6902-Chicago-IL-60601/2095327151_zpid/,"$1,956,610",New Construction,60601
"363 E Wacker Dr # 1306, Chicago, IL","3 bds · 3 ba · 2,421 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-1306-Chicago-IL-60601/2095326761_zpid/,"$2,366,770",New Construction,60601
"363 E Wacker Dr # 4303, Chicago, IL","2 bds · 3 ba · 2,341 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-4303-Chicago-IL-60601/2095327315_zpid/,"$2,112,518",New Construction,60601
"363 E Wacker Dr # 4903, Chicago, IL","2 bds · 2 ba · 1,629 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-4903-Chicago-IL-60601/2095327024_zpid/,"$1,971,941",New Construction,60601
"400 E Randolph St APT 924, Chicago, IL",1 bd · 1 ba · 825 sqft,http://www.zillow.com/homedetails/400-E-Randolph-St-APT-924-Chicago-IL-60601/3869072_zpid/,"$250,000",Condo For Sale,60601
"195 N Harbor Dr APT 2009, Chicago, IL","1 bd · 2 ba · 1,143 sqft",http://www.zillow.com/homedetails/195-N-Harbor-Dr-APT-2009-Chicago-IL-60601/3870871_zpid/,"$525,000",Condo For Sale,60601
,,,,,60601
"363 E Wacker Dr # 6603, Chicago, IL","3 bds · 3 ba · 2,349 sqft",http://www.zillow.com/homedetails/363-E-Wacker-Dr-6603-Chicago-IL-60601/2098858657_zpid/,"$2,935,761",New Construction,60601
